Year,Interest Income,Interest Expense,Net Interest Income,Noninterest Income,Noninterest Expense,Pre-Provision Net Revenue,Provision: Credit Losses,Provision: Credit Loss Other Assets,Pretax Operating Income,Realized Gains/Losses Sec,Unrealized Gains/Losses Equity Sec,Pretax Net Operating Income,Net Operating Income,Net Inc Attrib to Min Ints,Net Income
2024,5.27,2.84,2.43,1.16,0.55,3.04,0.05,-0.01,3.0,0.05,0.0,3.05,2.33,0.0,2.33
2023,4.51,1.96,2.55,1.31,0.55,3.31,0.17,0.03,3.1,0.03,0.0,3.13,2.41,0.0,2.41
2022,4.92,2.34,2.58,1.03,0.6,3.02,0.15,0.02,2.84,0.02,0.0,2.87,2.19,0.0,2.19
2021,2.71,0.57,2.14,0.82,0.55,2.41,0.04,0.0,2.37,0.02,0.0,2.39,1.84,0.0,1.84
