Year,Interest Income,Interest Expense,Net Interest Income,Noninterest Income,Noninterest Expense,Pre-Provision Net Revenue,Provision: Credit Losses,Provision: Credit Loss Other Assets,Pretax Operating Income,Realized Gains/Losses Sec,Unrealized Gains/Losses Equity Sec,Pretax Net Operating Income,Net Operating Income,Net Inc Attrib to Min Ints,Net Income
2024,4.49,3.13,1.37,1.25,1.61,1.0,-0.05,0.02,1.03,0.0,0.0,1.03,0.81,0.0,0.81
2023,3.8,2.25,1.55,1.01,1.46,1.1,0.02,0.02,1.06,0.0,0.0,1.06,0.8,0.0,0.8
2022,4.16,2.78,1.38,1.09,1.65,0.82,0.03,0.0,0.8,-0.15,0.0,0.65,0.51,0.0,0.51
2021,2.23,0.86,1.37,0.89,1.55,0.7,0.07,0.0,0.63,0.01,-0.01,0.63,0.48,0.0,0.48
