Year,Interest Income,Interest Expense,Net Interest Income,Noninterest Income,Noninterest Expense,Pre-Provision Net Revenue,Provision: Credit Losses,Provision: Credit Loss Other Assets,Pretax Operating Income,Realized Gains/Losses Sec,Unrealized Gains/Losses Equity Sec,Pretax Net Operating Income,Net Operating Income,Net Inc Attrib to Min Ints,Net Income
2022,2.66,0.51,2.15,0.59,1.27,1.47,0.13,0.06,1.27,0.01,0.0,1.28,0.94,0.0,0.94
2021,2.03,0.04,1.99,0.49,1.35,1.12,0.04,0.03,1.05,0.02,0.01,1.08,0.79,0.0,0.79
2020,2.69,0.08,2.62,0.75,1.86,1.51,0.23,0.0,1.28,0.07,0.01,1.36,0.99,0.0,0.99
2019,3.75,0.29,3.45,1.07,2.05,2.48,0.15,,2.32,-0.01,0.0,2.32,1.68,0.0,1.68
2018,3.63,0.08,3.55,0.99,2.04,2.5,0.15,,2.35,0.0,0.0,2.35,1.71,0.0,1.71
